round,global_weight_drift_l2
1,0.03030849785335805
2,0.005979343255307718
3,0.004095066300011492
4,0.0034610460737825102
5,0.002806665870605033
6,0.0029094206321755643
7,0.002958682044584841
8,0.0031459846454820733
9,0.0029879102830808277
10,0.0030282022756613044
11,0.003266745974334296
12,0.003088390840413047
13,0.0031616159676385175
14,0.0032478095381408786
15,0.0032526111122826926
16,0.0036053138256602097
17,0.0032856685242572234
18,0.0033304057498076472
19,0.0033398377306333286
20,0.00287122358852071
