round,global_accuracy,global_precision,global_recall,global_f1,global_auc,global_specificity,global_sensitivity,global_balanced_accuracy,global_tn,global_fp,global_fn,global_tp,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.8087256937467908,0.08598317331302714,0.21829801320019593,0.09284729187530523,0.6252095318115257,,0.21829801320019593,,-1,-1,-1,-1,0.8578914395106378,0.0058849865278836075,0.03115909339045854
2,0.8161515192105909,0.08968923646755687,0.21560106779668026,0.09456997431046912,0.6368000891296356,,0.21560106779668026,,-1,-1,-1,-1,0.8523743944366309,0.01480231891816162,0.01202039005899671
3,0.8378541289933695,0.09736871744801154,0.18693167893701593,0.09005853768282203,0.6445114114191047,,0.18693167893701593,,-1,-1,-1,-1,0.8617683008505793,0.01259100283967976,0.008745052302423496
4,0.8368160203603242,0.09162983930108827,0.19960735780672237,0.09883693137786452,0.6549160891441161,,0.19960735780672237,,-1,-1,-1,-1,0.8600471892929699,0.00898427144421259,0.007023942868331718
5,0.7971976648136986,0.0927655618650444,0.25851404210159995,0.10394241561984788,0.6573173517173884,,0.25851404210159995,,-1,-1,-1,-1,0.8309027080124126,0.006749487522036224,0.005742651429933141
6,0.8170361440403634,0.16675696566706338,0.23048423319159378,0.10331571893633218,0.6608687718722772,,0.23048423319159378,,-1,-1,-1,-1,0.8435455874801867,0.010856940813782004,0.004414757984589706
7,0.8230108499095841,0.11241226490161439,0.23424918266895225,0.10658745524465685,0.6692475287911287,,0.23424918266895225,,-1,-1,-1,-1,0.8502395742638358,0.016949627808109092,0.003927827042621927
8,0.8251093920925144,0.12313607266734346,0.23579426426516692,0.11442828918767936,0.6700298991428756,,0.23579426426516692,,-1,-1,-1,-1,0.8505953776259684,0.01581300508547927,0.0032683453119812405
9,0.8072578304645815,0.11536255069184446,0.2605068362790115,0.11902958501222503,0.6717408755205254,,0.2605068362790115,,-1,-1,-1,-1,0.8363060355412676,0.007141428782054327,0.00306939629453426
10,0.8480259192284508,0.13930594435179786,0.19871374908555975,0.10771941407549983,0.6751473977509459,,0.19871374908555975,,-1,-1,-1,-1,0.8610113466389838,0.029235555920848054,0.0025936346014058817
11,0.8181775054137923,0.1289986858384448,0.2495483437128949,0.11777016286438102,0.6767455069908196,,0.2495483437128949,,-1,-1,-1,-1,0.8447664813698569,0.01777183723810021,0.0025305483311869603
12,0.8041462951800504,0.13416517661324442,0.2751259635994217,0.1224200270622977,0.6779855444180451,,0.2751259635994217,,-1,-1,-1,-1,0.8307694561650257,0.02496795709976935,0.0023675130815794345
13,0.8160901256892819,0.148013216012665,0.25900056811337074,0.118180384564016,0.6787350088998639,,0.25900056811337074,,-1,-1,-1,-1,0.8386348034291071,0.027777077408157144,0.002234156139260943
14,0.8346588752706896,0.12899476024553277,0.2349853274653456,0.1181609582210266,0.6770410516714872,,0.2349853274653456,,-1,-1,-1,-1,0.8597646395642176,0.007639986373042218,0.0020260837797088527
15,0.8443367267206929,0.15368404112747278,0.22527443308501716,0.12865948653168427,0.6839824801878823,,0.22527443308501716,,-1,-1,-1,-1,0.8649265789297435,0.01498077016876007,0.0019335352845316408
16,0.8186574911258455,0.15654760235163986,0.2643519019903696,0.12930360772019947,0.6836688740245418,,0.2643519019903696,,-1,-1,-1,-1,0.84065032482754,0.017260875345542805,0.0018230166571429833
17,0.8370253164556962,0.13943401674045464,0.24734063457353464,0.13934897964313395,0.6872870928488043,,0.24734063457353464,,-1,-1,-1,-1,0.8538994653182416,0.016819617082382755,0.0017238086122360527
18,0.8030328399526712,0.1259973745212213,0.28665395518485876,0.12365899754901084,0.6903209842570827,,0.28665395518485876,,-1,-1,-1,-1,0.8322728997834483,0.025227861621557348,0.0016092701748117904
19,0.8338635501082758,0.13896826228797635,0.2461506215150467,0.13589624022852353,0.6921082794162595,,0.2461506215150467,,-1,-1,-1,-1,0.8543515448842453,0.020023236513356225,0.0015855656674883102
20,0.8283130176590092,0.14015037698959398,0.26661803297661474,0.14341876438237303,0.6924572030606816,,0.26661803297661474,,-1,-1,-1,-1,0.8419347051994732,0.024625727183372515,0.0015014288392984655
