round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_auc,local_test_specificity,local_test_sensitivity,local_test_balanced_accuracy,size_weight,performance_weight,adaptive_weight
1,0,4700,0.3589773766848506,0.8559066148728596,0.07836308421480656,0.14740055364074903,0.0738399945767448,0.6015769699675845,,0.14740055364074903,,0.24997340708435273,0.25,0.24998617168386345
1,1,4700,0.3573737879188693,0.8593027928470967,0.08389845089834469,0.1446308146271426,0.0821285898631434,0.6220296698653482,,0.1446308146271426,,0.24997340708435273,0.25,0.24998617168386345
1,2,4700,0.3586328599323221,0.868553680262541,0.07230973977694984,0.12985965523506043,0.07824216965891853,0.6191391899835652,,0.12985965523506043,,0.24997340708435273,0.25,0.24998617168386345
1,3,4702,0.35782753792749783,0.8519271984461858,0.07104088783469567,0.15064581403079497,0.0713570771361751,0.6214826918654628,,0.15064581403079497,,0.2500797787469418,0.25,0.2500414849484097
2,0,4700,0.3442116144563065,0.8314915276940593,0.08394534882377343,0.18313109456284088,0.0804028402324073,0.619453645325599,,0.18313109456284088,,0.24997340708435273,0.25,0.24998617168386345
2,1,4700,0.34202141246828094,0.8537578416270399,0.06704305287275336,0.15983501603129943,0.08589471664679439,0.6334961840044585,,0.15983501603129943,,0.24997340708435273,0.25,0.24998617168386345
2,2,4700,0.34431408173372957,0.8713945259303909,0.09614700859863061,0.1321287115590913,0.08527324409299697,0.6325130392196083,,0.1321287115590913,,0.24997340708435273,0.25,0.24998617168386345
2,3,4702,0.3431041366794482,0.8529457727769965,0.06615736127244838,0.1634292305337619,0.0871342573521315,0.6332221740945402,,0.1634292305337619,,0.2500797787469418,0.25,0.2500414849484097
3,0,4700,0.342227396591991,0.8834639340968455,0.06528904245491315,0.10945496619565223,0.06739809911715729,0.6351726952920399,,0.10945496619565223,,0.24997340708435273,0.25,0.24998617168386345
3,1,4700,0.3400092804107536,0.8501886455472953,0.08912622830912977,0.1701155943283061,0.08512080235752999,0.6407898790046478,,0.1701155943283061,,0.24997340708435273,0.25,0.24998617168386345
3,2,4700,0.34215268711654506,0.8580302725872346,0.10887588465605044,0.14886659300524122,0.07669926655602381,0.635692885427624,,0.14886659300524122,,0.24997340708435273,0.25,0.24998617168386345
3,3,4702,0.3409700468283932,0.8566098497533097,0.10205520977258209,0.16196712569918748,0.09244138875448385,0.639353312160286,,0.16196712569918748,,0.2500797787469418,0.25,0.2500414849484097
4,0,4700,0.34120395945853926,0.8539922532538566,0.09399828437980633,0.16542001911640206,0.08981610424701991,0.6405021799083483,,0.16542001911640206,,0.24997340708435273,0.25,0.24998617168386345
4,1,4700,0.33862646992514733,0.8496026164802536,0.07142124803323231,0.17735543507569296,0.09627401049739549,0.6491031208602942,,0.17735543507569296,,0.24997340708435273,0.25,0.24998617168386345
4,2,4700,0.3410732782616907,0.8734260933628022,0.08573869075395724,0.14266086565821542,0.09132345618224928,0.6499440941341038,,0.14266086565821542,,0.24997340708435273,0.25,0.24998617168386345
4,3,4702,0.3397778937605774,0.8619455048779944,0.06859208925560398,0.15292966691217172,0.08423422097365794,0.6471507857671844,,0.15292966691217172,,0.2500797787469418,0.25,0.2500414849484097
5,0,4700,0.34016404707415576,0.838239233808854,0.08325842167914052,0.19185660006755884,0.09771457707665872,0.6474072122117971,,0.19185660006755884,,0.24997340708435273,0.25,0.24998617168386345
5,1,4700,0.33760883414826426,0.8210853258321613,0.09248691864289667,0.2236801498171455,0.09814850882272555,0.6527791477192908,,0.2236801498171455,,0.24997340708435273,0.25,0.24998617168386345
5,2,4700,0.3402697987702428,0.8380578438595316,0.13054955037551813,0.18909408858461463,0.08887441407017867,0.6529544353457609,,0.18909408858461463,,0.24997340708435273,0.25,0.24998617168386345
5,3,4702,0.33867797470417155,0.822949456388275,0.09318748742273072,0.20526289207568732,0.09362178359562602,0.6411381453203491,,0.20526289207568732,,0.2500797787469418,0.25,0.2500414849484097
6,0,4700,0.3395147819502824,0.848871475453754,0.13258611435338985,0.17087652923392244,0.0841923413027279,0.6547012228696124,,0.17087652923392244,,0.24997340708435273,0.25,0.24998617168386345
6,1,4700,0.3370211984024567,0.8542099211930435,0.09608457006905984,0.1780881473700113,0.09939210091439067,0.6498632352740584,,0.1780881473700113,,0.24997340708435273,0.25,0.24998617168386345
6,2,4700,0.3394535523288104,0.8358197709463532,0.05989228152890358,0.19206302895640806,0.08495427485804789,0.6571703519982313,,0.19206302895640806,,0.24997340708435273,0.25,0.24998617168386345
6,3,4702,0.33771621702479665,0.8331742683008506,0.09600018866318319,0.20228618456378528,0.09585812623972255,0.6468535960356003,,0.20228618456378528,,0.2500797787469418,0.25,0.2500414849484097
7,0,4700,0.3385156094216976,0.8741349094724622,0.10215274933110684,0.1463751094327405,0.09053182456590314,0.6653614002312068,,0.1463751094327405,,0.24997340708435273,0.1624993237398944,0.20798584707901274
7,1,4700,0.33652329931453784,0.8587669948429442,0.10078479318875709,0.18048308486872283,0.09973279014573287,0.6610308040264127,,0.18048308486872283,,0.24997340708435273,0.1624993237398944,0.20798584707901274
7,2,4700,0.3384932263773315,0.8397963967584221,0.07949991963070047,0.18717961098190086,0.0876672409625163,0.6558052419415805,,0.18717961098190086,,0.24997340708435273,0.1624993237398944,0.20798584707901274
7,3,4702,0.33708614398833037,0.8303892349250999,0.16689758439561728,0.21593386681889815,0.10043703072105256,0.6646002133715445,,0.21593386681889815,,0.2500797787469418,0.5125020287803168,0.3760424587629618
8,0,4700,0.33799842474411945,0.8531243721117139,0.09751374493483231,0.17675554070863939,0.09128754306297401,0.6623625705416296,,0.17675554070863939,,0.24997340708435273,0.16201868843832537,0.2077551421342596
8,1,4700,0.3352951779657481,0.8782622284731989,0.0978911917823672,0.14077671094648658,0.08907267656864773,0.6621917139307303,,0.14077671094648658,,0.24997340708435273,0.16201868843832537,0.2077551421342596
8,2,4700,0.3382218014626276,0.8388503784073404,0.16863251774115007,0.1978436601986052,0.09664200013133897,0.6608365560337318,,0.1978436601986052,,0.24997340708435273,0.16201868843832537,0.2077551421342596
8,3,4702,0.3359309991200765,0.839023396512848,0.10508693246961569,0.20653686752372227,0.10894489525353265,0.6624813124783869,,0.20653686752372227,,0.2500797787469418,0.5139439346850239,0.3767345735972212
9,0,4700,0.33736004419878224,0.8489384502042729,0.09148873063221083,0.1807829615446463,0.08884176492356147,0.6663511896132982,,0.1807829615446463,,0.24997340708435273,0.1440383828603597,0.19912459545683608
9,1,4700,0.3348841012335148,0.835766749268859,0.09428460906250032,0.1937401639480711,0.09933313007087771,0.6618819997231864,,0.1937401639480711,,0.24997340708435273,0.1440383828603597,0.19912459545683608
9,2,4700,0.33732761906928754,0.8302022637465676,0.11357131395486104,0.21732845472284673,0.1102740320714851,0.6654910209526393,,0.21732845472284673,,0.24997340708435273,0.48992707838612193,0.36515116930920194
