"round","loss","accuracy","f1","precision","recall","auc"
"1","1.2307","0.5365","0.4989","0.5165","0.5365","0.7812"
"2","0.9113","0.6115","0.5951","0.5948","0.6115","0.8336"
"3","0.8104","0.6519","0.6439","0.6492","0.6519","0.8655"
"4","0.7379","0.6923","0.6861","0.6952","0.6923","0.8897"
"5","0.6678","0.7288","0.7256","0.726","0.7288","0.9088"
"6","0.6091","0.7577","0.756","0.7555","0.7577","0.9235"
"7","0.5839","0.7577","0.7545","0.7607","0.7577","0.9338"
"8","0.5236","0.7942","0.7925","0.7925","0.7942","0.9451"
"9","0.5052","0.8","0.7974","0.8006","0.8","0.9504"
"10","0.4773","0.7962","0.7936","0.7959","0.7962","0.9537"
"11","0.4485","0.8212","0.8208","0.8219","0.8212","0.9582"
"12","0.4399","0.8192","0.818","0.8173","0.8192","0.9594"
"13","0.4199","0.8288","0.8289","0.8291","0.8288","0.9633"
"14","0.4052","0.8462","0.8468","0.8479","0.8462","0.9647"
"15","0.395","0.8462","0.8461","0.8462","0.8462","0.9664"
