round,global_accuracy,global_precision,global_recall,global_f1,global_auc,global_specificity,global_sensitivity,global_balanced_accuracy,global_tn,global_fp,global_fn,global_tp,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.5216494845360825,0.5196687370600414,1.0,0.6839237057220708,0.8550924507099806,0.008547008547008548,1.0,0.5042735042735043,2,232,0,251,0.5257731958762887,0.003857378749251472,0.03030849785335805
2,0.5855670103092784,0.5565610859728507,0.9800796812749004,0.70995670995671,0.899870603057854,0.1623931623931624,0.9800796812749004,0.5712364218340314,38,196,5,246,0.6134020618556701,0.09880248006480996,0.005979343255307718
3,0.5938144329896907,0.5608108108108109,0.9920318725099602,0.7165467625899281,0.9181394081792488,0.16666666666666666,0.9920318725099602,0.5793492695883135,39,195,2,249,0.6,0.01718900206240524,0.004095066300011492
4,0.5360824742268041,0.5273109243697479,1.0,0.6905089408528198,0.9171519051997139,0.038461538461538464,1.0,0.5192307692307693,9,225,0,251,0.5417525773195876,0.02543593771438212,0.0034610460737825102
5,0.6144329896907217,0.5737327188940092,0.9920318725099602,0.727007299270073,0.9299213402799059,0.2094017094017094,0.9920318725099602,0.6007167909558347,49,185,2,249,0.6376288659793815,0.09141458654981578,0.002806665870605033
6,0.6371134020618556,0.5882352941176471,0.9960159362549801,0.7396449704142012,0.9269077536009808,0.25213675213675213,0.9960159362549801,0.6240763441958661,59,175,1,250,0.6458762886597939,0.04403823979143751,0.0029094206321755643
7,0.6762886597938145,0.6169154228855721,0.9880478087649402,0.7595712098009189,0.9310961283072836,0.3418803418803419,0.9880478087649402,0.6649640753226411,80,154,3,248,0.688659793814433,0.11410280217102399,0.002958682044584841
8,0.6020618556701031,0.5653153153153153,1.0,0.7223021582733813,0.9338373003711649,0.1752136752136752,1.0,0.5876068376068376,41,193,0,251,0.6144329896907216,0.07008793044034446,0.0031459846454820733
9,0.5855670103092784,0.5553097345132744,1.0,0.7140825035561877,0.9386981986583581,0.14102564102564102,1.0,0.5705128205128205,33,201,0,251,0.6020618556701031,0.04568766970342336,0.0029879102830808277
10,0.643298969072165,0.5924170616113744,0.9960159362549801,0.7429420505200595,0.9336159634964416,0.26495726495726496,0.9960159362549801,0.6304866006061225,62,172,1,250,0.6670103092783505,0.14000516213552086,0.0030282022756613044
11,0.6907216494845361,0.6272040302267002,0.9920318725099602,0.7685185185185185,0.9372765348860967,0.36752136752136755,0.9920318725099602,0.6797766200156639,86,148,2,249,0.6896907216494845,0.10626560890767167,0.003266745974334296
12,0.6618556701030928,0.6053268765133172,0.9960159362549801,0.7530120481927711,0.9359314877243163,0.3034188034188034,0.9960159362549801,0.6497173698368918,71,163,1,250,0.670618556701031,0.0953636109930098,0.003088390840413047
13,0.709278350515464,0.6410256410256411,0.9960159362549801,0.7800312012480499,0.9400006810365377,0.4017094017094017,0.9960159362549801,0.6988626689821908,94,140,1,250,0.7257731958762886,0.13805967555460094,0.0031616159676385175
14,0.6659793814432989,0.6082725060827251,0.9960159362549801,0.7552870090634441,0.9367146797425683,0.31196581196581197,0.9960159362549801,0.653990874110396,73,161,1,250,0.6876288659793814,0.09216863850174288,0.0032478095381408786
15,0.8288659793814434,0.7658227848101266,0.9641434262948207,0.8536155202821869,0.9396431368542923,0.6837606837606838,0.9641434262948207,0.8239520550277523,160,74,9,242,0.7917525773195876,0.08942370491629462,0.0032526111122826926
16,0.6804123711340206,0.6188118811881188,0.9960159362549801,0.7633587786259542,0.9405369973099057,0.3418803418803419,0.9960159362549801,0.668948139067661,80,154,1,250,0.6865979381443299,0.1400620848324404,0.0036053138256602097
17,0.6,0.5640449438202247,1.0,0.7212643678160919,0.9371573534920149,0.17094017094017094,1.0,0.5854700854700855,40,194,0,251,0.6164948453608248,0.0764417522140892,0.0032856685242572234
18,0.6907216494845361,0.6265664160401002,0.9960159362549801,0.7692307692307693,0.9359655395511969,0.36324786324786323,0.9960159362549801,0.6796318997514217,85,149,1,250,0.6824742268041236,0.04169845034259112,0.0033304057498076472
19,0.7175257731958763,0.6476683937823834,0.9960159362549801,0.7849293563579278,0.9439677188681173,0.4188034188034188,0.9960159362549801,0.7074096775291995,98,136,1,250,0.7577319587628866,0.08432838453008276,0.0033398377306333286
20,0.7298969072164948,0.6578947368421053,0.9960159362549801,0.7923930269413629,0.9469472537201622,0.4444444444444444,0.9960159362549801,0.7202301903497123,104,130,1,250,0.7273195876288658,0.10248662000604557,0.00287122358852071
