"round","client_id","accuracy","f1","auc"
"1","0","0.7469","0.8525","0.5216"
"1","1","0.9578","0.9699","0.9943"
"1","2","0.9597","0.9736","0.9918"
"1","3","0.9645","0.9762","0.9917"
"1","4","0.9713","0.9809","0.9956"
"2","0","0.744","0.8532","0.5"
"2","1","0.977","0.9839","0.9985"
"2","2","0.9732","0.9822","0.9976"
"2","3","0.9645","0.9765","0.9968"
"2","4","0.9847","0.9898","0.9982"
"3","0","0.3595","0.2528","0.5641"
"3","1","0.9703","0.9788","0.9995"
"3","2","0.954","0.969","0.9991"
"3","3","0.9875","0.9915","0.9992"
"3","4","0.9866","0.991","0.9995"
"4","0","0.744","0.8532","0.5"
"4","1","0.9981","0.9987","1"
"4","2","0.9952","0.9969","0.9998"
"4","3","0.9933","0.9954","0.9998"
"4","4","0.9866","0.9911","0.9998"
"5","0","0.7459","0.8542","0.5037"
"5","1","1","1","1"
"5","2","0.9799","0.987","0.9987"
"5","3","0.9501","0.9651","0.9998"
"5","4","0.9483","0.9667","0.9983"
"6","0","0.3078","0.2083","0.4832"
"6","1","0.9952","0.9967","1"
"6","2","0.9895","0.9931","1"
"6","3","0.9981","0.9987","1"
"6","4","0.999","0.9994","1"
"7","0","0.3547","0.3865","0.432"
"7","1","1","1","1"
"7","2","0.999","0.9994","1"
"7","3","1","1","1"
"7","4","0.9971","0.9981","1"
"8","0","0.744","0.8532","0.5"
"8","1","0.9751","0.9828","0.9999"
"8","2","0.999","0.9994","1"
"8","3","1","1","1"
"8","4","0.999","0.9994","1"
"9","0","0.743","0.8526","0.4994"
"9","1","1","1","1"
"9","2","0.9981","0.9988","1"
"9","3","1","1","1"
"9","4","1","1","1"
"10","0","0.744","0.8532","0.5"
"10","1","1","1","1"
"10","2","1","1","1"
"10","3","1","1","1"
"10","4","1","1","1"
"11","0","0.744","0.8532","0.5"
"11","1","0.9971","0.998","1"
"11","2","0.9981","0.9987","1"
"11","3","1","1","1"
"11","4","1","1","1"
"12","0","0.255","0","0.4981"
"12","1","0.9962","0.9973","0.9997"
"12","2","0.999","0.9994","1"
"12","3","1","1","1"
"12","4","1","1","1"
"13","0","0.744","0.8532","0.5"
"13","1","1","1","1"
"13","2","0.999","0.9994","1"
"13","3","1","1","1"
"13","4","1","1","1"
"14","0","0.7354","0.8473","0.4954"
"14","1","1","1","1"
"14","2","1","1","1"
"14","3","1","1","1"
"14","4","1","1","1"
"15","0","0.744","0.8532","0.5"
"15","1","1","1","1"
"15","2","1","1","1"
"15","3","1","1","1"
"15","4","1","1","1"
"16","0","0.6059","0.7502","0.4257"
"16","1","1","1","1"
"16","2","1","1","1"
"16","3","1","1","1"
"16","4","0.999","0.9994","1"
"17","0","0.744","0.8532","0.5"
"17","1","1","1","1"
"17","2","1","1","1"
"17","3","1","1","1"
"17","4","1","1","1"
"18","0","0.744","0.8532","0.5"
"18","1","1","1","1"
"18","2","1","1","1"
"18","3","1","1","1"
"18","4","1","1","1"
"19","0","0.744","0.8531","0.5012"
"19","1","0.9914","0.9939","0.9998"
"19","2","1","1","1"
"19","3","1","1","1"
"19","4","1","1","1"
"20","0","0.744","0.8532","0.5"
"20","1","1","1","1"
"20","2","1","1","1"
"20","3","1","1","1"
"20","4","1","1","1"
