"round","accuracy","f1","auc"
"1","0.6021","0.7223","0.9473"
"2","0.7443","0.7994","0.9435"
"3","0.7938","0.8305","0.9376"
"4","0.7031","0.775","0.9207"
"5","0.7402","0.7968","0.9242"
"6","0.7278","0.7898","0.9115"
"7","0.7134","0.7818","0.9138"
"8","0.699","0.7733","0.8897"
"9","0.7113","0.7799","0.9001"
"10","0.7093","0.7786","0.885"
"11","0.7423","0.7981","0.8954"
"12","0.7258","0.7879","0.9035"
"13","0.7175","0.7836","0.8768"
"14","0.7278","0.7898","0.8917"
"15","0.7381","0.7961","0.8838"
"16","0.7278","0.7891","0.8801"
"17","0.6928","0.769","0.8598"
"18","0.7175","0.7836","0.8791"
"19","0.7278","0.7898","0.8714"
"20","0.7299","0.7904","0.8748"
